X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,MPE,MAPE
1,Dooley,2017,-,Controlled,HR,bpm,Apple,Watch,Apple Watch,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,0.007190265,0.0276
2,Dooley,2017,-,Controlled,HR,bpm,Apple,Watch,Apple Watch,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,0.001096041,0.0163
3,Dooley,2017,-,Controlled,HR,bpm,Apple,Watch,Apple Watch,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,-0.005327335,0.0114
4,Boudreaux,2018,-,Controlled,HR,bpm,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Rest: Seated,Rest,Se,NA,0.0121
5,Boudreaux,2018,-,Controlled,HR,bpm,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Rest: Seated,Rest,Se,NA,0.0144
6,Boudreaux,2018,-,Controlled,HR,bpm,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,NA,0.0299
7,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.026173285,0.026
8,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.018887723,0.019
9,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.013829787,0.014
10,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.004765687,0.005
11,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,7.99361e-4,0.001
12,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0,0
13,Dooley,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,-0.022493193,0.0238
14,Stahl,2016,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar WearLink 31),chest strap,chest,Torso,50,32,18,healthy adults,A,H,"M: 27.47 ± 6.1 
F: 24.17 ± 4.93",NA,"M: 82.66 ± 9.5 kg
F: 63.18 ± 10.9 kg",NA,"M: 180.22 ± 4.7 cm
F: 164.38 ± 8.7 cm",NA,"M: 25.44 ± 2.6 kg/m2
F: 23.36 ± 3.5 kg/m2",NA,"NE, USA",Run: Treadmill,Activity,At,-0.01179941,0.0246
15,Stahl,2016,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar WearLink 31),chest strap,chest,Torso,50,32,18,healthy adults,A,H,"M: 27.47 ± 6.1 
F: 24.17 ± 4.93",NA,"M: 82.66 ± 9.5 kg
F: 63.18 ± 10.9 kg",NA,"M: 180.22 ± 4.7 cm
F: 164.38 ± 8.7 cm",NA,"M: 25.44 ± 2.6 kg/m2
F: 23.36 ± 3.5 kg/m2",NA,"NE, USA",Run: Treadmill,Activity,At,-0.01321004,0.0173
16,Fokkema,2017,-,Controlled,SC,steps/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, right",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.019695613,0.02
17,Fokkema,2017,-,Controlled,SC,steps/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, right",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.017148014,0.017
18,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",A,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,0.003666361,0.028
19,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",A,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,-0.011519393,0.015
20,Montoye,2017,-,Controlled,SC,steps/5 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Accelerometry (OMRON HJ-323U [hip]),accelerometry,"waist, right",Waist/Hip,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Rest: Supine,NA,Se,0,0
21,Montoye,2017,-,Controlled,SC,steps/5 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Accelerometry (OMRON HJ-323U [hip]),accelerometry,"waist, right",Waist/Hip,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Rest: Standing,NA,Se,0,0
22,Montoye,2017,-,Controlled,SC,steps/5 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Accelerometry (OMRON HJ-323U [hip]),accelerometry,"waist, right",Waist/Hip,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Jog: Treadmill,NA,At,-0.008507444,0.013
23,Jones,2018,-,Controlled,SC,steps/4 min,Fitbit,Flex,Fitbit Flex,2013,Wrist,"wrist, 2 on L, 1 on R",full-text,y,Manual count,manual count,NA,NA,30,12,18,healthy adults,A,H,34,8,71,16,171,12,23.8,7.64,"VIC, AUS",Run: Treadmill,NA,At,0,0
24,Jones,2018,-,Controlled,SC,steps/4 min,Fitbit,Flex,Fitbit Flex,2013,Wrist,"wrist, 2 on L, 1 on R",full-text,y,Manual count,manual count,NA,NA,28,11,17,healthy adults,A,H,33,8,71,15,172,12,23.95,2.41,"VIC, AUS",Run: Treadmill,NA,At,0,0.01
25,Jones,2018,-,Controlled,SC,steps/4 min,Fitbit,Flex,Fitbit Flex,2013,Wrist,"wrist, 2 on L, 1 on R",full-text,y,Manual count,manual count,NA,NA,25,11,14,healthy adults,A,H,33,8,70,11,172,12,23.66,1.59,"VIC, AUS",Run: Treadmill,NA,At,-0.020467836,0.01
26,Duclos,2019,-,Controlled,SC,steps/6 min,Fitbit,One,Fitbit One,2012,LAF,"ankle, non-paretic",full-text,y,Manual count,manual count,NA,NA,20,13,7,hemiparetic post-stroke,A,NH,53.9,10.8,NA,NA,NA,NA,NA,NA,"QC, CAN",Walk: Overground,NA,Ao,-0.047001621,0.005
27,Duclos,2019,-,Controlled,SC,steps/615m,Fitbit,One,Fitbit One,2012,LAF,"ankle, non-paretic",full-text,y,Manual count,manual count,NA,NA,20,13,7,hemiparetic post-stroke,A,NH,53.9,10.8,NA,NA,NA,NA,NA,NA,"QC, CAN",Walk: Overground,NA,Ao,-0.059399478,0.0267
28,Duclos,2019,-,Controlled,SC,steps/bout,Fitbit,One,Fitbit One,2012,LAF,"ankle, non-paretic",full-text,y,Manual count,manual count,NA,NA,20,13,7,hemiparetic post-stroke,A,NH,53.9,10.8,NA,NA,NA,NA,NA,NA,"QC, CAN",Walk: Overground,NA,Ao,-0.133858268,0.0217
29,Floegel,2017,-,Controlled,SC,steps/100m,Fitbit,One,Fitbit One,2012,Waist/Hip,"hip, ND",full-text,y,Manual count,manual count,NA,NA,25,7,18,"older adults, impaired ambulation",A,H,79.2,7.4,NA,NA,NA,NA,28,6.5,"NC, USA",Walk: Overground,NA,Ao,-0.0171,0.0181
30,Floegel,2017,-,Controlled,SC,steps/100m,Fitbit,One,Fitbit One,2012,Waist/Hip,"hip, ND",full-text,y,Manual count,manual count,NA,NA,25,7,18,"older adults, non-impaired ambulation",A,H,74.3,6.3,NA,NA,NA,NA,28,6.5,"NC, USA",Walk: Overground,NA,Ao,-0.0259,0.0269
31,Nelson,2016,-,Controlled,SC,kcal/bout,Fitbit,One,Fitbit One,2012,Waist/Hip,"hip, left",full-text,y,Accelerometry (Omron HJ-720IT [hip]),accelerometry,NA,NA,30,15,15,healthy adults,A,H,48.9,19.4,NA,NA,NA,NA,26.3,5.2,"IN, USA",Ambulation: Treadmill or Overground,NA,A,0.014052584,0.02
32,Nelson,2016,-,Controlled,SC,kcal/bout,Fitbit,One,Fitbit One,2012,Waist/Hip,"hip, left",full-text,y,Accelerometry (Omron HJ-720IT [hip]),accelerometry,NA,NA,30,15,15,healthy adults,A,H,48.9,19.4,NA,NA,NA,NA,26.3,5.2,"IN, USA",Resting,NA,Se,0,0
33,O'Connell,2016,-,Controlled,SC,steps/400m,Fitbit,One,Fitbit One,2012,Torso,"chest, centre",full-text,y,Manual count,manual count,NA,NA,15,7,8,healthy adults,A,H,21.1,1.1,NA,NA,NA,NA,"M: 23.60 ± 2.70 kg/m2
F: 21.88 ± 1.81 kg/m2",NA,Ireland,Walk: Overground,NA,Ao,0.008528785,0.0106
34,O'Connell,2016,-,Controlled,SC,steps/480m,Fitbit,One,Fitbit One,2012,Torso,"chest, centre",full-text,y,Manual count,manual count,NA,NA,15,7,8,healthy adults,A,H,21.1,1.1,NA,NA,NA,NA,"M: 23.60 ± 2.70 kg/m2
F: 21.88 ± 1.81 kg/m2",NA,Ireland,Walk: Overground,NA,Ao,0.00524109,0.0218
35,O'Connell,2016,-,Controlled,SC,steps/800m,Fitbit,One,Fitbit One,2012,Torso,"chest, centre",full-text,y,Manual count,manual count,NA,NA,15,7,8,healthy adults,A,H,21.1,1.1,NA,NA,NA,NA,"M: 23.60 ± 2.70 kg/m2
F: 21.88 ± 1.81 kg/m2",NA,Ireland,Walk: Overground,NA,Ao,0.002526529,0.0134
36,O'Connell,2016,-,Controlled,SC,steps/990m,Fitbit,One,Fitbit One,2012,Torso,"chest, centre",full-text,y,Manual count,manual count,NA,NA,15,7,8,healthy adults,A,H,21.1,1.1,NA,NA,NA,NA,"M: 23.60 ± 2.70 kg/m2
F: 21.88 ± 1.81 kg/m2",NA,Ireland,Walk: Overground,NA,Ao,8.25764e-4,0.0069
37,O'Connell,2016,-,Controlled,SC,steps/900m,Fitbit,One,Fitbit One,2012,Torso,"chest, centre",full-text,y,Manual count,manual count,NA,NA,15,7,8,healthy adults,A,H,21.1,1.1,NA,NA,NA,NA,"M: 23.60 ± 2.70 kg/m2
F: 21.88 ± 1.81 kg/m2",NA,Ireland,Walk: Overground,NA,Ao,-0.00464636,0.0124
38,O'Connell,2016,-,Controlled,SC,steps/49 stairs,Fitbit,One,Fitbit One,2012,Torso,"chest, centre",full-text,y,Manual count,manual count,NA,NA,15,7,8,healthy adults,A,H,21.1,1.1,NA,NA,NA,NA,"M: 23.60 ± 2.70 kg/m2
F: 21.88 ± 1.81 kg/m2",NA,Ireland,Stairs: Ascend,NA,St,-0.009009009,0.0293
39,Simpson,2015,-,Controlled,SC,steps/15 min,Fitbit,One,Fitbit One,2012,LAF,ankle,full-text,y,Manual count,manual count,NA,NA,42,11,31,"older adults, >= 65 yr",A,H,73,6.9,NA,NA,NA,NA,26.1,4.6,"BC, CAN",Walk: Overground,NA,Ao,-0.025,0.025
40,Simpson,2015,-,Controlled,SC,steps/15 min,Fitbit,One,Fitbit One,2012,LAF,ankle,full-text,y,Manual count,manual count,NA,NA,42,11,31,"older adults, >= 65 yr",A,H,73,6.9,NA,NA,NA,NA,26.1,4.6,"BC, CAN",Walk: Overground,NA,Ao,-0.028,0.028
41,Simpson,2015,-,Controlled,SC,steps/15 min,Fitbit,One,Fitbit One,2012,LAF,ankle,full-text,y,Manual count,manual count,NA,NA,42,11,31,"older adults, >= 65 yr",A,H,73,6.9,NA,NA,NA,NA,26.1,4.6,"BC, CAN",Walk: Overground,NA,Ao,-0.028,0.028
